canonical_project_id,snapshot_month,sector,state,ministry_department,project_age_months,months_to_target,current_time_slip_months,current_cost_overrun_pct,spend_ratio_pct,physical_progress_pct,financial_physical_gap_pct,progress_delta_1m,progress_delta_3m,progress_delta_6m,spend_delta_1m_cr,spend_delta_3m_cr,spend_delta_6m_cr,progress_velocity_3m,schedule_pressure,stagnation_streak_months,target_revision_count_to_date,cost_revision_count_to_date,data_quality_score,missing_core_fields_count,delay_event_next_3m,delay_event_next_6m,cost_escalation_next_3m,cost_escalation_next_6m,future_coverage_3m,future_coverage_6m
P-619114,2026-04,Railways,Madhya Pradesh,Ministry of Road Transport & Highways,,,,6.021211084502235,31.062330481497952,40.25,-9.187669518502048,0.0,1.25,,10.520000000000039,56.06,,0.4166666666666667,,2,0,0,88,1,,,,,0,0
P-619115,2026-02,Railways,Karnataka,Ministry of Road Transport & Highways,,,,50.048320092372954,16.85681783963732,100.0,-83.14318216036268,,,,,,,,,0,0,0,88,1,,,,,0,0
P-619117,2026-02,Railways,Karnataka,Ministry of Road Transport & Highways,,,,6.8355570347602255,63.71449514385193,97.0,-33.28550485614807,,,,,,,,,0,0,0,88,1,,,,,0,0
P-619117,2026-03,Railways,Karnataka,Ministry of Road Transport & Highways,,,,6.8355570347602255,63.71449514385193,97.8,-34.08550485614807,0.7999999999999972,,,0.0,,,,,0,0,0,88,1,,,,,0,0
P-619117,2026-04,Railways,Karnataka,Ministry of Road Transport & Highways,,,,6.8355570347602255,63.93897746014293,97.8,-33.86102253985707,0.0,,,2.4500000000000455,,,,,1,0,0,88,1,,,,,0,0
P-619118,2025-01,,,,,,,0.0,44.02240601743399,99.0,-54.97759398256601,,,,,,,,,0,0,0,88,1,,,0,0,1,1
P-619118,2025-02,"ROAD
TRANSPORT AND",,,,,,0.0,44.02240601743399,99.0,-54.97759398256601,0.0,,,0.0,,,,,1,0,0,84,1,,,0,0,1,1
P-619118,2025-03,,,,,,,0.0,47.06458861213367,99.38,-52.31541138786633,0.37999999999999545,,,76.3599999999999,,,,,2,0,0,88,1,,,0,0,1,1
P-619118,2025-04,,,,,,,0.0,47.06458861213367,99.38,-52.31541138786633,0.0,0.37999999999999545,,0.0,76.3599999999999,,0.12666666666666515,,3,0,0,84,1,,,0,0,1,1
P-619118,2025-05,,,,,,,0.0,47.06458861213367,99.38,-52.31541138786633,0.0,0.37999999999999545,,0.0,76.3599999999999,,0.12666666666666515,,4,0,0,84,1,,,0,0,1,1
P-619118,2025-06,,,,,,,0.0,47.06458861213367,99.98,-52.915411387866335,0.6000000000000085,0.6000000000000085,,0.0,0.0,,0.20000000000000284,,0,0,0,88,1,,,0,0,1,1
P-619118,2026-01,Railways,Odisha,Ministry of Road Transport & Highways,,,,4.895141113289027,1.1850006266830238,99.0,-97.81499937331698,,,,,,,,,0,0,1,76,1,,,0,,1,0
P-619118,2026-02,Railways,Odisha,Ministry of Road Transport & Highways,,,,4.895141113289027,45.35210090736106,99.0,-53.64789909263894,0.0,,,1162.8799999999999,,,,,1,0,1,88,1,,,,,0,0
P-619118,2026-03,Railways,Odisha,Ministry of Road Transport & Highways,,,,4.895141113289027,45.35210090736106,99.98,-54.62789909263894,0.980000000000004,,,0.0,,,,,0,0,1,88,1,,,,,0,0
P-619118,2026-04,Railways,Odisha,Ministry of Road Transport & Highways,,,,4.895141113289027,45.35475956261324,99.98,-54.625240437386765,0.0,0.980000000000004,,0.07000000000016371,1162.95,,0.326666666666668,,1,0,1,88,1,,,,,0,0
P-619119,2025-01,,,,,,,0.0,83.63212699337363,93.75,-10.117873006626368,,,,,,,,,0,0,0,88,1,,,0,0,1,1
P-619119,2025-02,,,,,,,0.0,83.63212699337363,95.0,-11.367873006626368,1.25,,,0.0,,,,,0,0,0,88,1,,,0,0,1,1
P-619119,2025-03,,,,,,,0.0,83.63212699337363,97.0,-13.367873006626368,2.0,,,0.0,,,,,0,0,0,88,1,,,0,0,1,1
P-619119,2025-04,,,,,,,0.0,83.63212699337363,97.65,-14.017873006626374,0.6500000000000057,3.9000000000000057,,0.0,0.0,,1.3000000000000018,,0,0,0,88,1,,,0,0,1,1
P-619119,2025-05,,,,,,,0.0,83.63212699337363,97.8,-14.167873006626365,0.14999999999999147,2.799999999999997,,0.0,0.0,,0.9333333333333323,,1,0,0,88,1,,,0,0,1,1
P-619119,2025-06,,,,,,,0.0,83.63212699337363,98.0,-14.367873006626368,0.20000000000000284,1.0,,0.0,0.0,,0.3333333333333333,,2,0,0,88,1,,,0,0,1,1
P-619119,2026-01,Railways,Odisha,Ministry of Road Transport & Highways,,,,17.911179602129437,1.360422978672845,99.0,-97.63957702132716,,,,,,,,,2,0,1,76,1,,,0,,1,0
P-619119,2026-02,Railways,Odisha,Ministry of Road Transport & Highways,,,,17.911179602129437,42.2316707827312,99.0,-56.7683292172688,0.0,,,481.59000000000003,,,,,3,0,1,88,1,,,,,0,0
P-619119,2026-03,Railways,Odisha,Ministry of Road Transport & Highways,,,,17.911179602129437,42.2316707827312,99.0,-56.7683292172688,0.0,,,0.0,,,,,4,0,1,84,1,,,,,0,0
