canonical_project_id,snapshot_month,data_quality_score,quality_flags,source_url,source_page
L-N04000098,2025-04,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,143
L-N04000098,2025-05,88,MISSING_TARGET_DATE,LOCAL_CACHE,116
L-N04000098,2025-06,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,127
L-N04000102,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,213
L-N04000102,2025-02,88,MISSING_TARGET_DATE,LOCAL_CACHE,219
L-N04000102,2025-03,88,MISSING_TARGET_DATE,LOCAL_CACHE,213
L-N04000102,2025-04,88,MISSING_TARGET_DATE,LOCAL_CACHE,238
L-N04000102,2025-05,88,MISSING_TARGET_DATE,LOCAL_CACHE,185
L-N04000102,2025-06,88,MISSING_TARGET_DATE,LOCAL_CACHE,204
L-N06000008,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,75
L-N06000104,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,75
L-N06000104,2025-02,88,MISSING_TARGET_DATE,LOCAL_CACHE,78
L-N06000104,2025-03,88,MISSING_TARGET_DATE,LOCAL_CACHE,75
L-N06000104,2025-04,88,MISSING_TARGET_DATE,LOCAL_CACHE,82
L-N06000104,2025-05,76,MISSING_TARGET_DATE;CUM_EXPENDITURE_DECREASE,LOCAL_CACHE,71
L-N06000104,2025-06,88,MISSING_TARGET_DATE,LOCAL_CACHE,74
L-N06000117,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,173
L-N06000126,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,108
L-N06000161,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,205
L-N06000161,2025-02,88,MISSING_TARGET_DATE,LOCAL_CACHE,210
L-N06000161,2025-03,88,MISSING_TARGET_DATE,LOCAL_CACHE,205
L-N06000161,2025-04,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,229
L-N06000161,2025-05,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,177
L-N06000161,2025-06,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,196
L-N06000162,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,129
L-N06000189,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,174
L-N06000189,2025-02,88,MISSING_TARGET_DATE,LOCAL_CACHE,178
L-N06000189,2025-03,88,MISSING_TARGET_DATE,LOCAL_CACHE,172
L-N06000189,2025-04,88,MISSING_TARGET_DATE,LOCAL_CACHE,192
L-N06000198,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,76
L-N06000198,2025-02,88,MISSING_TARGET_DATE,LOCAL_CACHE,78
L-N06000198,2025-03,88,MISSING_TARGET_DATE,LOCAL_CACHE,75
L-N06000198,2025-04,88,MISSING_TARGET_DATE,LOCAL_CACHE,82
L-N06000198,2025-05,88,MISSING_TARGET_DATE,LOCAL_CACHE,72
L-N06000198,2025-06,88,MISSING_TARGET_DATE,LOCAL_CACHE,75
L-N06000210,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,205
L-N06000210,2025-02,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,211
L-N06000210,2025-03,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,205
L-N06000210,2025-04,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,229
L-N06000210,2025-05,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,177
L-N06000210,2025-06,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,196
L-N06000231,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,136
L-N06000248,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,174
L-N07000001,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,81
L-N07000001,2025-02,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,84
L-N07000001,2025-03,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,81
L-N07000001,2025-04,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,88
L-N07000001,2025-05,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,76
L-N07000001,2025-06,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,80
L-N10000011,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,175
L-N10000011,2025-02,88,MISSING_TARGET_DATE,LOCAL_CACHE,179
L-N10000011,2025-03,88,MISSING_TARGET_DATE,LOCAL_CACHE,173
L-N10000011,2025-04,88,MISSING_TARGET_DATE,LOCAL_CACHE,194
L-N10000011,2025-05,88,MISSING_TARGET_DATE,LOCAL_CACHE,151
L-N10000011,2025-06,88,MISSING_TARGET_DATE,LOCAL_CACHE,167
L-N10000012,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,175
L-N10000012,2025-02,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,179
L-N10000012,2025-03,88,MISSING_TARGET_DATE,LOCAL_CACHE,173
L-N10000012,2025-04,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,194
L-N10000012,2025-05,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,151
L-N10000012,2025-06,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,167
L-N10000017,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,175
L-N10000017,2025-02,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,179
L-N10000017,2025-03,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,173
L-N10000017,2025-04,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,194
L-N10000017,2025-05,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,151
L-N10000017,2025-06,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,167
L-N12000122,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,182
L-N12000122,2025-02,88,MISSING_TARGET_DATE,LOCAL_CACHE,186
L-N12000122,2025-03,88,MISSING_TARGET_DATE,LOCAL_CACHE,180
L-N12000122,2025-04,76,MISSING_PROGRESS;MISSING_TARGET_DATE,LOCAL_CACHE,202
L-N12000122,2025-05,76,MISSING_PROGRESS;MISSING_TARGET_DATE,LOCAL_CACHE,157
L-N12000122,2025-06,76,MISSING_PROGRESS;MISSING_TARGET_DATE,LOCAL_CACHE,174
L-N12000125,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,182
