threshold,precision,recall,f1,false_positive_rate,alerts_generated
0.43000000000000005,0.5510204081632653,0.5142857142857142,0.5320197044334976,0.06769230769230769,98
0.43500000000000005,0.5510204081632653,0.5142857142857142,0.5320197044334976,0.06769230769230769,98
0.44,0.5520833333333334,0.5047619047619047,0.527363184079602,0.06615384615384616,96
0.445,0.5591397849462365,0.49523809523809526,0.5252525252525253,0.06307692307692307,93
0.45,0.5543478260869565,0.4857142857142857,0.5177664974619289,0.06307692307692307,92
0.455,0.5604395604395604,0.4857142857142857,0.5204081632653061,0.06153846153846154,91
0.46,0.550561797752809,0.4666666666666667,0.5051546391752577,0.06153846153846154,89
0.465,0.5542168674698795,0.4380952380952381,0.48936170212765956,0.05692307692307692,83
0.47000000000000003,0.5487804878048781,0.42857142857142855,0.48128342245989303,0.05692307692307692,82
0.47500000000000003,0.5487804878048781,0.42857142857142855,0.48128342245989303,0.05692307692307692,82
0.48000000000000004,0.5432098765432098,0.41904761904761906,0.4731182795698925,0.05692307692307692,81
0.48500000000000004,0.55,0.41904761904761906,0.4756756756756757,0.055384615384615386,80
0.49000000000000005,0.5641025641025641,0.41904761904761906,0.4808743169398907,0.052307692307692305,78
0.49500000000000005,0.5714285714285714,0.41904761904761906,0.4835164835164835,0.05076923076923077,77
0.5,0.5714285714285714,0.41904761904761906,0.4835164835164835,0.05076923076923077,77
0.505,0.5789473684210527,0.41904761904761906,0.4861878453038674,0.04923076923076923,76
0.51,0.581081081081081,0.4095238095238095,0.48044692737430167,0.047692307692307694,74
0.515,0.5753424657534246,0.4,0.47191011235955055,0.047692307692307694,73
0.52,0.5694444444444444,0.3904761904761905,0.4632768361581921,0.047692307692307694,72
0.525,0.5857142857142857,0.3904761904761905,0.4685714285714286,0.04461538461538461,70
0.53,0.5882352941176471,0.38095238095238093,0.4624277456647399,0.043076923076923075,68
0.535,0.5909090909090909,0.37142857142857144,0.45614035087719296,0.04153846153846154,66
0.54,0.6,0.37142857142857144,0.4588235294117647,0.04,65
0.545,0.59375,0.3619047619047619,0.44970414201183434,0.04,64
0.55,0.5967741935483871,0.3523809523809524,0.4431137724550898,0.038461538461538464,62
0.555,0.6065573770491803,0.3523809523809524,0.4457831325301205,0.036923076923076927,61
0.56,0.6166666666666667,0.3523809523809524,0.4484848484848485,0.03538461538461538,60
0.5650000000000001,0.6140350877192983,0.3333333333333333,0.43209876543209874,0.033846153846153845,57
0.5700000000000001,0.6140350877192983,0.3333333333333333,0.43209876543209874,0.033846153846153845,57
0.5750000000000001,0.6140350877192983,0.3333333333333333,0.43209876543209874,0.033846153846153845,57
0.5800000000000001,0.6140350877192983,0.3333333333333333,0.43209876543209874,0.033846153846153845,57
0.5850000000000001,0.6140350877192983,0.3333333333333333,0.43209876543209874,0.033846153846153845,57
0.5900000000000001,0.6071428571428571,0.3238095238095238,0.422360248447205,0.033846153846153845,56
0.5950000000000001,0.6071428571428571,0.3238095238095238,0.422360248447205,0.033846153846153845,56
0.6,0.6,0.3142857142857143,0.4125,0.033846153846153845,55
0.605,0.6153846153846154,0.3047619047619048,0.40764331210191085,0.03076923076923077,52
0.61,0.62,0.29523809523809524,0.4,0.02923076923076923,50
0.615,0.62,0.29523809523809524,0.4,0.02923076923076923,50
0.62,0.62,0.29523809523809524,0.4,0.02923076923076923,50
0.625,0.625,0.2857142857142857,0.39215686274509803,0.027692307692307693,48
0.63,0.6382978723404256,0.2857142857142857,0.39473684210526316,0.026153846153846153,47
0.635,0.6222222222222222,0.26666666666666666,0.37333333333333335,0.026153846153846153,45
0.64,0.6341463414634146,0.24761904761904763,0.3561643835616438,0.023076923076923078,41
0.645,0.6341463414634146,0.24761904761904763,0.3561643835616438,0.023076923076923078,41
0.65,0.6341463414634146,0.24761904761904763,0.3561643835616438,0.023076923076923078,41
0.655,0.6341463414634146,0.24761904761904763,0.3561643835616438,0.023076923076923078,41
0.66,0.6341463414634146,0.24761904761904763,0.3561643835616438,0.023076923076923078,41
0.665,0.6410256410256411,0.23809523809523808,0.3472222222222222,0.021538461538461538,39
0.67,0.6410256410256411,0.23809523809523808,0.3472222222222222,0.021538461538461538,39
0.675,0.6410256410256411,0.23809523809523808,0.3472222222222222,0.021538461538461538,39
0.68,0.6486486486486487,0.22857142857142856,0.3380281690140845,0.02,37
0.685,0.6486486486486487,0.22857142857142856,0.3380281690140845,0.02,37
0.6900000000000001,0.6486486486486487,0.22857142857142856,0.3380281690140845,0.02,37
0.6950000000000001,0.6486486486486487,0.22857142857142856,0.3380281690140845,0.02,37
0.7000000000000001,0.6486486486486487,0.22857142857142856,0.3380281690140845,0.02,37
0.7050000000000001,0.6666666666666666,0.22857142857142856,0.3404255319148936,0.018461538461538463,36
0.7100000000000001,0.6571428571428571,0.21904761904761905,0.32857142857142857,0.018461538461538463,35
0.7150000000000001,0.6764705882352942,0.21904761904761905,0.33093525179856115,0.016923076923076923,34
0.7200000000000001,0.6764705882352942,0.21904761904761905,0.33093525179856115,0.016923076923076923,34
0.725,0.6764705882352942,0.21904761904761905,0.33093525179856115,0.016923076923076923,34
0.73,0.6764705882352942,0.21904761904761905,0.33093525179856115,0.016923076923076923,34
0.735,0.6774193548387096,0.2,0.3088235294117647,0.015384615384615385,31
0.74,0.6666666666666666,0.19047619047619047,0.2962962962962963,0.015384615384615385,30
0.745,0.6666666666666666,0.19047619047619047,0.2962962962962963,0.015384615384615385,30
0.75,0.6666666666666666,0.19047619047619047,0.2962962962962963,0.015384615384615385,30
0.755,0.6428571428571429,0.17142857142857143,0.2706766917293233,0.015384615384615385,28
0.76,0.6666666666666666,0.17142857142857143,0.2727272727272727,0.013846153846153847,27
0.765,0.6666666666666666,0.17142857142857143,0.2727272727272727,0.013846153846153847,27
0.77,0.6923076923076923,0.17142857142857143,0.2748091603053435,0.012307692307692308,26
0.775,0.68,0.1619047619047619,0.26153846153846155,0.012307692307692308,25
0.78,0.68,0.1619047619047619,0.26153846153846155,0.012307692307692308,25
0.785,0.6666666666666666,0.1523809523809524,0.24806201550387597,0.012307692307692308,24
0.79,0.6818181818181818,0.14285714285714285,0.23622047244094488,0.010769230769230769,22
0.795,0.65,0.12380952380952381,0.208,0.010769230769230769,20
0.8,0.65,0.12380952380952381,0.208,0.010769230769230769,20
0.805,0.65,0.12380952380952381,0.208,0.010769230769230769,20
0.81,0.65,0.12380952380952381,0.208,0.010769230769230769,20
0.8150000000000001,0.65,0.12380952380952381,0.208,0.010769230769230769,20
0.8200000000000001,0.6111111111111112,0.10476190476190476,0.17886178861788618,0.010769230769230769,18
0.8250000000000001,0.6111111111111112,0.10476190476190476,0.17886178861788618,0.010769230769230769,18
0.8300000000000001,0.6111111111111112,0.10476190476190476,0.17886178861788618,0.010769230769230769,18
0.8350000000000001,0.5882352941176471,0.09523809523809523,0.16393442622950818,0.010769230769230769,17
0.8400000000000001,0.5625,0.08571428571428572,0.1487603305785124,0.010769230769230769,16
0.8450000000000001,0.5625,0.08571428571428572,0.1487603305785124,0.010769230769230769,16
0.8500000000000001,0.6,0.08571428571428572,0.15,0.009230769230769232,15
0.855,0.5714285714285714,0.0761904761904762,0.13445378151260504,0.009230769230769232,14
0.86,0.5714285714285714,0.0761904761904762,0.13445378151260504,0.009230769230769232,14
0.865,0.5714285714285714,0.0761904761904762,0.13445378151260504,0.009230769230769232,14
0.87,0.5714285714285714,0.0761904761904762,0.13445378151260504,0.009230769230769232,14
0.875,0.5714285714285714,0.0761904761904762,0.13445378151260504,0.009230769230769232,14
0.88,0.6153846153846154,0.0761904761904762,0.13559322033898305,0.007692307692307693,13
0.885,0.5454545454545454,0.05714285714285714,0.10344827586206896,0.007692307692307693,11
0.89,0.5454545454545454,0.05714285714285714,0.10344827586206896,0.007692307692307693,11
0.895,0.5,0.047619047619047616,0.08695652173913043,0.007692307692307693,10
0.9,0.5,0.047619047619047616,0.08695652173913043,0.007692307692307693,10
