group_column,group,rows,positives,pr_auc,roc_auc,precision,recall,f1,balanced_accuracy,specificity,accuracy,brier,log_loss,ece,tn,fp,fn,tp,alerts_generated,threshold,false_positive_rate
state,Bihar,97,28,0.586692640530937,0.734472049689441,0.48,0.42857142857142855,0.4528301886792453,0.6200828157349897,0.8115942028985508,0.7010309278350515,0.1879160050023516,0.5925572274618963,0.1385171336823866,56,13,16,12,25,0.22999999999999998,0.18840579710144928
state,Chhattisgarh,83,15,0.4578127798127798,0.865686274509804,0.45454545454545453,0.3333333333333333,0.38461538461538464,0.6225490196078431,0.9117647058823529,0.8072289156626506,0.14089491751381877,0.4084360346820915,0.12685082997054295,62,6,10,5,11,0.22999999999999998,0.08823529411764706
state,Gujarat,136,39,0.4057986554595844,0.6719534760771875,0.3953488372093023,0.4358974358974359,0.4146341463414634,0.5839280993920168,0.7319587628865979,0.6470588235294118,0.23545775144449815,0.7291899981820983,0.19512136644306638,71,26,22,17,43,0.22999999999999998,0.26804123711340205
state,Jharkhand,110,17,0.7871490714888415,0.954459203036053,0.6842105263157895,0.7647058823529411,0.7222222222222222,0.8500948766603416,0.9354838709677419,0.9090909090909091,0.07067439199817549,0.2297276211065839,0.07611060482521516,87,6,4,13,19,0.22999999999999998,0.06451612903225806
state,Karnataka,86,26,0.5165162058417712,0.7576923076923077,0.5,0.38461538461538464,0.43478260869565216,0.608974358974359,0.8333333333333334,0.6976744186046512,0.2322132014703508,0.7432901270212042,0.22912133969507906,50,10,16,10,20,0.22999999999999998,0.16666666666666666
state,Madhya Pradesh,95,28,0.7008040401488317,0.8805970149253732,0.68,0.6071428571428571,0.6415094339622641,0.7438699360341151,0.8805970149253731,0.8,0.17248851817133193,0.5251171357191928,0.17542058574852742,59,8,11,17,25,0.22999999999999998,0.11940298507462686
state,Maharashtra,221,51,0.4368804995877544,0.7709342560553633,0.3902439024390244,0.3137254901960784,0.34782608695652173,0.5833333333333333,0.8529411764705882,0.7285067873303167,0.1948387008540397,0.6617391677233784,0.17179039864121382,145,25,35,16,41,0.22999999999999998,0.14705882352941177
state,Odisha,103,17,0.6649051509050895,0.8296853625170999,0.5,0.5294117647058824,0.5142857142857142,0.7123803009575924,0.8953488372093024,0.8349514563106796,0.09338799688795098,0.34606866382055446,0.07563416478966783,77,9,8,9,18,0.22999999999999998,0.10465116279069768
state,Rajasthan,71,26,0.8254818230444386,0.8863247863247863,0.7083333333333334,0.6538461538461539,0.68,0.7491452991452991,0.8444444444444444,0.7746478873239436,0.17982381007034665,0.5140658334054912,0.20760257803665041,38,7,9,17,24,0.22999999999999998,0.15555555555555556
state,Telangana,64,16,0.21328151623386218,0.4114583333333333,0.047619047619047616,0.0625,0.05405405405405406,0.3229166666666667,0.5833333333333334,0.453125,0.35290969750111334,1.15248837412779,0.3814995634798482,28,20,15,1,21,0.22999999999999998,0.4166666666666667
state,Uttar Pradesh,132,33,0.5260622794796689,0.8126721763085399,0.5,0.6363636363636364,0.56,0.7121212121212122,0.7878787878787878,0.75,0.16545401833339013,0.498750314609787,0.11360826422253667,78,21,12,21,42,0.22999999999999998,0.21212121212121213
state,West Bengal,90,19,0.7330847650064811,0.8851000741289844,0.7777777777777778,0.7368421052631579,0.7567567567567568,0.8402520385470719,0.9436619718309859,0.9,0.11718454279843225,0.39845314314530705,0.11800418935033628,67,4,5,14,18,0.22999999999999998,0.056338028169014086
reporting_regime,PAIMANA,2155,609,0.5526976957562444,0.7918724522418148,0.5553319919517102,0.45320197044334976,0.49909584086799275,0.6551262116123605,0.8570504527813713,0.7429234338747099,0.1946374025979912,0.6286023105273261,0.1580004486072721,1325,221,333,276,497,0.22999999999999998,0.1429495472186287
quality_bucket,below 70,67,13,0.6015097178094526,0.7435897435897436,0.8571428571428571,0.46153846153846156,0.6,0.7215099715099715,0.9814814814814815,0.8805970149253731,0.1296371055276426,0.4441389843731162,0.09653938154108073,53,1,7,6,7,0.22999999999999998,0.018518518518518517
