canonical_project_id,snapshot_month,sector,state,ministry_department,project_age_months,months_to_target,current_time_slip_months,current_cost_overrun_pct,spend_ratio_pct,physical_progress_pct,financial_physical_gap_pct,progress_delta_1m,progress_delta_3m,progress_delta_6m,spend_delta_1m_cr,spend_delta_3m_cr,spend_delta_6m_cr,progress_velocity_3m,schedule_pressure,stagnation_streak_months,target_revision_count_to_date,cost_revision_count_to_date,data_quality_score,missing_core_fields_count,delay_event_next_3m,delay_event_next_6m,cost_escalation_next_3m,cost_escalation_next_6m,future_coverage_3m,future_coverage_6m,valid_delay_target_3m,valid_delay_target_6m,valid_cost_target_3m,valid_cost_target_6m
P-617361,2025-10,Railways,Maharashtra,Ministry of Railways,12,29,0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,3.4482758620689653,1,0,0,86,0,0,0,0,0,1,1,1,1,1,1
P-617364,2025-09,Railways,Maharashtra,Ministry of Railways,8,34,0,-39.40827003221706,1.6682926829268292,0.0,1.6682926829268292,,,,,,,,2.9411764705882355,0,0,0,90,0,0,0,0,0,1,1,1,1,1,1
P-617364,2025-10,Railways,Maharashtra,Ministry of Railways,9,33,0,-39.40827003221706,1.6682926829268292,0.0,1.6682926829268292,0.0,,,0.0,,,,3.0303030303030303,1,0,0,86,0,0,0,0,0,1,1,1,1,1,1
P-617370,2025-09,Railways,Uttar Pradesh,Ministry of Railways,30,16,0,0.0,2.214103841470165,10.0,-7.785896158529836,,,,,,,,5.625,0,0,0,98,0,0,0,0,0,1,1,1,1,1,1
P-617370,2025-10,Railways,Uttar Pradesh,Ministry of Railways,31,15,0,0.0,2.214103841470165,11.0,-8.785896158529836,1.0,,,0.0,,,,5.933333333333334,0,0,0,98,0,0,0,0,0,1,1,1,1,1,1
P-617372,2025-09,Railways,Jharkhand,Ministry of Railways,34,3,0,0.0,24.76375923486627,70.0,-45.23624076513373,,,,,,,,10.0,0,0,0,98,0,0,,0,0,1,1,1,0,1,1
P-617372,2025-10,Railways,Jharkhand,Ministry of Railways,35,2,0,0.0,30.38485768283603,70.0,-39.61514231716397,0.0,,,19.629999999999995,,,,15.0,1,0,0,98,0,,,0,0,1,1,0,0,1,1
P-617374,2025-10,Railways,Chhattisgarh,Ministry of Railways,191,-7,0,0.0,57.62075900952883,92.0,-34.37924099047117,0.0,,,0.0,,-475.29999999999995,,8.0,1,1,1,86,0,,,1,1,1,1,0,0,1,1
P-617375,2025-09,Electricity Generation,Arunachal Pradesh,Ministry of Power,1,29,0,0.0,0.009552010698251982,0.0,0.009552010698251982,,,,,,,,3.4482758620689653,0,0,0,98,0,0,0,0,0,1,1,1,1,1,1
P-617375,2025-10,Electricity Generation,Arunachal Pradesh,Ministry of Power,2,28,0,0.0,0.014328016047377974,0.0,0.014328016047377974,0.0,,,0.009999999999999998,,,,3.5714285714285716,1,0,0,94,0,0,0,0,0,1,1,1,1,1,1
