canonical_project_id,snapshot_month,sector,state,ministry_department,project_age_months,months_to_target,current_time_slip_months,current_cost_overrun_pct,spend_ratio_pct,physical_progress_pct,financial_physical_gap_pct,progress_delta_1m,progress_delta_3m,progress_delta_6m,spend_delta_1m_cr,spend_delta_3m_cr,spend_delta_6m_cr,progress_velocity_3m,schedule_pressure,stagnation_streak_months,target_revision_count_to_date,cost_revision_count_to_date,data_quality_score,missing_core_fields_count,delay_event_next_3m,delay_event_next_6m,cost_escalation_next_3m,cost_escalation_next_6m,future_coverage_3m,future_coverage_6m,valid_delay_target_3m,valid_delay_target_6m,valid_cost_target_3m,valid_cost_target_6m
P-400018,2025-10,Coal,Jharkhand,Ministry of Coal,38,41,0,0.0,52.55000523615038,62.0,-9.449994763849617,0.0,0.0,0.0,0.009999999999990905,1.1499999999999773,8.639999999999986,0.0,0.926829268292683,9,0,0,86,0,0,0,0,0,1,1,1,1,1,1
P-400019,2025-08,Railways,Maharashtra,Ministry of Railways,79,25,9,137.60654273885868,20.934721522338855,16.0,4.9347215223388545,7.0,11.0,11.0,10.630000000000024,46.370000000000005,69.07000000000002,3.6666666666666665,3.36,0,2,2,90,0,0,0,0,0,1,1,1,1,1,1
P-400019,2025-09,Railways,Maharashtra,Ministry of Railways,80,24,9,137.60654273885868,21.888745590734775,16.0,5.888745590734775,0.0,11.0,11.0,11.169999999999959,21.799999999999983,59.21999999999997,3.6666666666666665,3.5,1,2,2,82,0,0,0,0,0,1,1,1,1,1,1
P-400019,2025-10,Railways,Maharashtra,Ministry of Railways,81,23,9,137.60654273885868,23.646473014869795,16.0,7.646473014869795,0.0,7.0,11.0,20.58000000000004,42.380000000000024,78.73000000000002,2.3333333333333335,3.652173913043478,2,2,2,90,0,0,0,0,0,1,1,1,1,1,1
P-400022,2025-08,Railways,"Multi-States (Gujarat, Rajasthan)",Ministry of Railways,37,59,0,0.0,68.4553252323088,15.0,53.455325232308795,1.0,3.0,6.0,23.480000000000018,852.2900000000002,992.4800000000001,1.0,1.4406779661016949,0,1,0,90,0,0,0,0,0,1,1,1,1,1,1
P-400022,2025-09,Railways,"Multi-States (Gujarat, Rajasthan)",Ministry of Railways,38,58,0,0.0,69.03716940671909,16.0,53.03716940671909,1.0,3.5,6.0,16.279999999999973,828.5,940.82,1.1666666666666667,1.4482758620689655,0,1,0,82,0,0,0,0,0,1,1,1,1,1,1
P-400022,2025-10,Railways,"Multi-States (Gujarat, Rajasthan)",Ministry of Railways,39,57,0,0.0,72.00142959256611,17.0,55.00142959256611,1.0,3.0,6.0,82.93999999999983,122.69999999999982,993.8999999999999,1.0,1.456140350877193,0,1,0,90,0,0,0,0,0,1,1,1,1,1,1
P-400023,2025-10,Railways,Karnataka,Ministry of Railways,79,18,-12,0.0,0.0,0.0,0.0,,0.0,-1.0,,0.0,-0.88,0.0,5.555555555555555,1,1,0,78,0,0,0,0,0,1,1,1,1,1,1
P-400033,2025-01,Coal,Maharashtra,Ministry of Coal,,38,0,25.707888391319322,8.40298139369194,17.0,-8.59701860630806,,,,,,,,2.1842105263157894,0,0,0,92,0,0,0,0,,1,1,1,1,1,0
P-400033,2025-02,Coal,Maharashtra,Ministry of Coal,33,37,0,25.707888391319322,8.40298139369194,17.0,-8.59701860630806,0.0,,,0.0,,,,2.2432432432432434,1,0,0,80,0,0,0,0,,1,1,1,1,1,0
