project_id,snapshot_month,previous_target,previous_target_source,current_target,current_target_source,reporting_regime,interpreted_change_months,semantic_comparable,exclusion_reason
P-618598,2026-04,2026-04-01,REVISED,2026-05-01,REVISED,PAIMANA,1,1,
P-618599,2025-04,2025-03-01,REVISED,2025-03-01,ANTICIPATED,OCMS_LEGACY,0,1,
P-618599,2025-05,2025-03-01,ANTICIPATED,2025-03-01,REVISED,OCMS_LEGACY,0,1,
P-618599,2025-12,2025-03-01,REVISED,2025-03-01,REVISED,PAIMANA,0,1,
P-618599,2026-03,2025-03-01,REVISED,2026-04-01,REVISED,PAIMANA,13,1,
P-618599,2026-04,2026-04-01,REVISED,2026-05-01,REVISED,PAIMANA,1,1,
P-618600,2025-04,2025-03-01,REVISED,2025-03-01,ANTICIPATED,OCMS_LEGACY,0,1,
P-618600,2025-05,2025-03-01,ANTICIPATED,2025-03-01,REVISED,OCMS_LEGACY,0,1,
P-618600,2025-12,2025-03-01,REVISED,2025-03-01,REVISED,PAIMANA,0,1,
P-618600,2026-03,2025-03-01,REVISED,2026-04-01,REVISED,PAIMANA,13,1,
P-618600,2026-04,2026-04-01,REVISED,2026-05-01,REVISED,PAIMANA,1,1,
P-618601,2025-12,2025-11-01,REVISED,2025-10-01,REVISED,PAIMANA,-1,0,REPORTING_REGIME_CHANGE
P-618601,2026-03,2025-10-01,REVISED,2026-06-01,REVISED,PAIMANA,8,1,
P-618602,2025-12,2025-12-01,REVISED,2025-11-01,REVISED,PAIMANA,-1,0,REPORTING_REGIME_CHANGE
P-618602,2026-03,2025-11-01,REVISED,2026-06-01,REVISED,PAIMANA,7,1,
P-618603,2025-12,2025-04-01,REVISED,2025-04-01,ORIGINAL,PAIMANA,0,1,
P-618603,2026-03,2025-04-01,ORIGINAL,2026-12-01,REVISED,PAIMANA,20,0,TARGET_SOURCE_TRANSITION
P-618604,2025-12,2026-01-01,REVISED,2026-01-01,ORIGINAL,PAIMANA,0,1,
P-618604,2026-03,2026-01-01,ORIGINAL,2026-06-01,REVISED,PAIMANA,5,0,TARGET_SOURCE_TRANSITION
P-618604,2026-04,2026-06-01,REVISED,2026-12-01,REVISED,PAIMANA,6,1,
P-618605,2025-04,2024-09-01,REVISED,2024-09-01,ANTICIPATED,OCMS_LEGACY,0,1,
P-618605,2025-05,2024-09-01,ANTICIPATED,2024-09-01,REVISED,OCMS_LEGACY,0,1,
P-618605,2025-12,2024-09-01,REVISED,2026-03-01,REVISED,PAIMANA,18,0,REPORTING_REGIME_CHANGE
P-618605,2026-03,2026-03-01,REVISED,2026-05-01,REVISED,PAIMANA,2,1,
P-618605,2026-04,2026-05-01,REVISED,2026-12-01,REVISED,PAIMANA,7,1,
P-618606,2025-02,2025-02-01,REVISED,2026-01-01,REVISED,OCMS_LEGACY,11,1,
P-618606,2025-04,2026-01-01,REVISED,2026-01-01,ANTICIPATED,OCMS_LEGACY,0,1,
