canonical_project_id,first_snapshot,last_snapshot,observed_months,calendar_span_months,coverage_pct,missing_month_count,missing_months
L-N24000578,2025-01,2025-06,6,6,100.0,0,
L-N24000603,2025-01,2025-04,4,4,100.0,0,
L-N24000649,2025-01,2025-06,6,6,100.0,0,
L-N24000655,2025-01,2025-01,1,1,100.0,0,
L-N24000659,2025-01,2025-05,5,5,100.0,0,
L-N24000683,2025-01,2025-06,6,6,100.0,0,
L-N24000685,2025-01,2025-02,2,2,100.0,0,
L-N24000686,2025-01,2025-05,5,5,100.0,0,
L-N24000688,2025-01,2025-06,6,6,100.0,0,
L-N24000697,2025-01,2025-06,6,6,100.0,0,
L-N24000704,2025-01,2025-05,5,5,100.0,0,
L-N24000709,2025-01,2025-04,4,4,100.0,0,
L-N24000736,2025-01,2025-06,6,6,100.0,0,
L-N24000741,2025-01,2025-05,5,5,100.0,0,
L-N24000742,2025-01,2025-06,6,6,100.0,0,
L-N24000743,2025-01,2025-06,6,6,100.0,0,
L-N24000745,2025-01,2025-06,6,6,100.0,0,
L-N24000749,2025-01,2025-06,6,6,100.0,0,
L-N24000752,2025-01,2025-06,6,6,100.0,0,
L-N24000753,2025-01,2025-06,6,6,100.0,0,
L-N24000756,2025-01,2025-02,2,2,100.0,0,
L-N24000767,2025-01,2025-06,6,6,100.0,0,
L-N24000768,2025-01,2025-05,5,5,100.0,0,
L-N24000771,2025-01,2025-06,6,6,100.0,0,
L-N24000772,2025-01,2025-06,6,6,100.0,0,
L-N24000773,2025-01,2025-06,6,6,100.0,0,
L-N24000774,2025-01,2025-06,6,6,100.0,0,
L-N24000776,2025-01,2025-06,6,6,100.0,0,
L-N24000777,2025-01,2025-06,6,6,100.0,0,
L-N24000778,2025-01,2025-06,6,6,100.0,0,
L-N24000780,2025-01,2025-06,6,6,100.0,0,
L-N24000782,2025-01,2025-06,6,6,100.0,0,
L-N24000796,2025-01,2025-03,3,3,100.0,0,
L-N24000798,2025-01,2025-06,6,6,100.0,0,
L-N24000821,2025-01,2025-06,6,6,100.0,0,
L-N24000851,2025-01,2025-06,6,6,100.0,0,
L-N24000858,2025-01,2025-06,6,6,100.0,0,
L-N24000859,2025-01,2025-03,3,3,100.0,0,
L-N24000880,2025-01,2025-06,6,6,100.0,0,
L-N24000885,2025-01,2025-01,1,1,100.0,0,
L-N24000907,2025-01,2025-06,6,6,100.0,0,
L-N24000909,2025-01,2025-06,6,6,100.0,0,
L-N24000910,2025-01,2025-06,6,6,100.0,0,
L-N24000912,2025-01,2025-06,6,6,100.0,0,
L-N24000914,2025-01,2025-06,6,6,100.0,0,
L-N24000917,2025-01,2025-06,6,6,100.0,0,
L-N24000925,2025-01,2025-06,6,6,100.0,0,
L-N24000931,2025-01,2025-06,6,6,100.0,0,
L-N24000941,2025-01,2025-03,3,3,100.0,0,
L-N24000948,2025-01,2025-03,3,3,100.0,0,
L-N24000980,2025-01,2025-06,6,6,100.0,0,
L-N24000982,2025-01,2025-06,6,6,100.0,0,
L-N24000984,2025-01,2025-06,6,6,100.0,0,
L-N24000986,2025-01,2025-06,6,6,100.0,0,
L-N24000990,2025-01,2025-06,6,6,100.0,0,
L-N24000993,2025-01,2025-06,6,6,100.0,0,
L-N24000998,2025-01,2025-06,6,6,100.0,0,
L-N24001003,2025-01,2025-05,5,5,100.0,0,
L-N24001008,2025-01,2025-05,5,5,100.0,0,
L-N24001013,2025-01,2025-06,6,6,100.0,0,
L-N24001017,2025-01,2025-06,6,6,100.0,0,
L-N24001018,2025-01,2025-05,5,5,100.0,0,
L-N24001021,2025-01,2025-05,5,5,100.0,0,
L-N24001022,2025-01,2025-06,6,6,100.0,0,
L-N24001027,2025-01,2025-03,3,3,100.0,0,
L-N24001039,2025-01,2025-03,3,3,100.0,0,
L-N24001046,2025-01,2025-05,5,5,100.0,0,
L-N24001050,2025-01,2025-06,6,6,100.0,0,
L-N24001058,2025-01,2025-06,6,6,100.0,0,
L-N24001069,2025-01,2025-06,6,6,100.0,0,
L-N24001078,2025-01,2025-05,5,5,100.0,0,
L-N24001079,2025-01,2025-05,5,5,100.0,0,
L-N24001080,2025-01,2025-05,5,5,100.0,0,
L-N24001081,2025-01,2025-03,3,3,100.0,0,
L-N24001090,2025-01,2025-05,5,5,100.0,0,
L-N24001092,2025-01,2025-06,6,6,100.0,0,
L-N24001095,2025-01,2025-03,3,3,100.0,0,
L-N24001097,2025-01,2025-03,3,3,100.0,0,
L-N24001099,2025-01,2025-06,6,6,100.0,0,
L-N24001101,2025-01,2025-05,5,5,100.0,0,
L-N24001102,2025-01,2025-05,5,5,100.0,0,
L-N24001111,2025-01,2025-03,3,3,100.0,0,
L-N24001114,2025-01,2025-06,6,6,100.0,0,
L-N24001124,2025-01,2025-06,6,6,100.0,0,
L-N24001125,2025-01,2025-06,6,6,100.0,0,
L-N24001127,2025-01,2025-03,3,3,100.0,0,
L-N24001130,2025-01,2025-06,6,6,100.0,0,
L-N24001138,2025-01,2025-05,5,5,100.0,0,
L-N24001156,2025-01,2025-06,6,6,100.0,0,
L-N24001157,2025-01,2025-06,6,6,100.0,0,
L-N24001158,2025-01,2025-06,6,6,100.0,0,
L-N24001159,2025-01,2025-06,6,6,100.0,0,
L-N24001160,2025-01,2025-06,6,6,100.0,0,
L-N24001161,2025-01,2025-06,6,6,100.0,0,
L-N24001162,2025-01,2025-06,6,6,100.0,0,
L-N24001164,2025-01,2025-06,6,6,100.0,0,
L-N24001165,2025-01,2025-06,6,6,100.0,0,
L-N24001166,2025-01,2025-06,6,6,100.0,0,
L-N24001168,2025-01,2025-06,6,6,100.0,0,
L-N24001172,2025-01,2025-06,6,6,100.0,0,
L-N24001173,2025-01,2025-06,6,6,100.0,0,
L-N24001179,2025-01,2025-04,4,4,100.0,0,
L-N24001180,2025-01,2025-04,4,4,100.0,0,
L-N24001216,2025-01,2025-06,6,6,100.0,0,
L-N24001217,2025-01,2025-06,6,6,100.0,0,
L-N24001221,2025-01,2025-06,6,6,100.0,0,
L-N24001222,2025-01,2025-06,6,6,100.0,0,
L-N24001241,2025-01,2025-01,1,1,100.0,0,
L-N24001244,2025-01,2025-06,6,6,100.0,0,
L-N24001254,2025-01,2025-05,5,5,100.0,0,
L-N24001259,2025-01,2025-04,4,4,100.0,0,
L-N24001271,2025-01,2025-06,6,6,100.0,0,
L-N24001272,2025-01,2025-05,5,5,100.0,0,
L-N24001273,2025-01,2025-05,5,5,100.0,0,
L-N24001276,2025-01,2025-01,1,1,100.0,0,
L-N24001277,2025-01,2025-03,3,3,100.0,0,
L-N24001286,2025-01,2025-05,5,5,100.0,0,
L-N24001291,2025-01,2025-02,2,2,100.0,0,
L-N24001292,2025-01,2025-02,2,2,100.0,0,
L-N24001293,2025-01,2025-02,2,2,100.0,0,
L-N24001303,2025-01,2025-06,6,6,100.0,0,
L-N24001309,2025-01,2025-06,6,6,100.0,0,
L-N24001317,2025-01,2025-06,6,6,100.0,0,
L-N24001322,2025-01,2025-06,6,6,100.0,0,
L-N24001325,2025-01,2025-06,6,6,100.0,0,
L-N24001339,2025-01,2025-05,5,5,100.0,0,
L-N24001342,2025-01,2025-02,2,2,100.0,0,
L-N24001343,2025-01,2025-06,6,6,100.0,0,
L-N24001353,2025-01,2025-04,4,4,100.0,0,
L-N24001355,2025-01,2025-02,2,2,100.0,0,
L-N24001356,2025-01,2025-06,6,6,100.0,0,
L-N24001360,2025-01,2025-04,4,4,100.0,0,
L-N24001361,2025-01,2025-04,4,4,100.0,0,
L-N24001363,2025-01,2025-06,6,6,100.0,0,
L-N24001366,2025-01,2025-06,6,6,100.0,0,
L-N24001370,2025-01,2025-06,6,6,100.0,0,
L-N24001372,2025-01,2025-02,2,2,100.0,0,
L-N24001374,2025-01,2025-02,2,2,100.0,0,
L-N24001377,2025-01,2025-01,1,1,100.0,0,
L-N24001378,2025-01,2025-01,1,1,100.0,0,
L-N24001379,2025-01,2025-01,1,1,100.0,0,
L-N24001381,2025-01,2025-06,6,6,100.0,0,
L-N24001382,2025-01,2025-06,6,6,100.0,0,
L-N24001383,2025-01,2025-06,6,6,100.0,0,
